Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jarred Vanderbilt,PF,23,UTA,52,41,24.1,3.3,6.0,.556,0.4,1.1,.333,3.0,4.9,.606,.587,1.3,2.0,.657,2.3,5.5,7.9,2.7,1.0,0.3,1.3,2.6,8.3
Jarred Vanderbilt,PF,23,LAL,8,6,24.4,3.0,5.3,.571,0.3,0.9,.286,2.8,4.4,.629,.595,1.5,1.8,.857,2.5,5.1,7.6,1.9,1.5,0.4,1.4,2.0,7.8
Fred VanVleet,PG,28,TOR,52,52,37.0,6.3,16.3,.388,2.9,8.8,.336,3.4,7.5,.450,.479,3.7,4.2,.894,0.5,3.8,4.3,6.7,1.6,0.6,1.9,2.8,19.3
Devin Vassell,SG,22,SAS,30,24,31.0,7.1,15.9,.448,2.8,7.0,.400,4.3,8.9,.485,.536,2.3,2.9,.793,0.2,3.7,3.9,3.5,1.2,0.4,1.5,1.4,19.4
Gabe Vincent,PG,26,MIA,50,16,26.4,3.3,8.6,.387,1.7,5.4,.317,1.6,3.2,.506,.487,1.1,1.3,.877,0.4,1.9,2.3,2.5,0.9,0.1,1.4,2.5,9.5
Noah Vonleh,C,27,BOS,23,1,7.4,0.5,1.0,.458,0.0,0.2,.250,0.4,0.9,.500,.479,0.1,0.1,1.000,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1
Nikola Vučević,C,32,CHI,64,64,33.8,7.3,14.2,.512,1.6,4.6,.349,5.6,9.6,.590,.568,1.6,1.9,.813,2.0,9.3,11.3,3.3,0.7,0.8,1.7,2.2,17.7
Dean Wade,PF,26,CLE,35,9,20.8,1.8,4.1,.428,1.1,2.9,.373,0.7,1.2,.558,.559,0.4,0.7,.652,0.5,3.2,3.6,0.9,0.7,0.5,0.4,2.2,5.1
Franz Wagner,SF,21,ORL,63,63,32.8,6.8,13.9,.486,1.7,4.5,.370,5.1,9.4,.541,.546,3.5,4.2,.836,0.9,3.0,3.9,3.4,0.9,0.2,2.1,2.3,18.7
Moritz Wagner,C,25,ORL,43,14,20.6,3.6,7.4,.492,1.0,3.1,.311,2.7,4.2,.626,.558,2.7,3.2,.855,1.3,3.3,4.6,1.6,0.7,0.2,1.2,2.7,11.0
Ish Wainright,SF,28,PHO,46,1,15.1,1.4,3.7,.385,0.9,2.7,.341,0.5,0.9,.512,.512,0.5,0.5,.840,0.8,1.3,2.1,1.0,0.8,0.3,0.4,2.0,4.2
Jabari Walker,SF,20,POR,42,0,8.9,1.0,2.3,.439,0.1,0.6,.192,0.9,1.7,.528,.464,0.5,0.7,.724,0.8,1.2,2.0,0.5,0.1,0.2,0.3,1.0,2.7
Kemba Walker,PG,32,DAL,9,1,16.0,2.7,6.3,.421,0.8,3.1,.250,1.9,3.2,.586,.482,1.9,2.3,.810,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8.0
Lonnie Walker IV,SG,24,LAL,47,32,25.6,4.6,10.3,.451,1.8,4.8,.375,2.9,5.5,.517,.538,1.9,2.1,.870,0.3,1.9,2.1,1.3,0.6,0.3,0.9,1.4,12.9
John Wall,PG,32,LAC,34,3,22.2,4.1,9.9,.408,1.0,3.2,.303,3.1,6.7,.459,.457,2.3,3.3,.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4
T.J. Warren,PF-SF,29,TOT,29,0,17.9,3.7,7.2,.505,0.6,1.7,.340,3.1,5.5,.556,.545,0.9,1.1,.818,0.5,2.2,2.8,1.0,0.6,0.3,0.6,1.6,8.8
T.J. Warren,PF,29,BRK,26,0,18.8,3.9,7.7,.510,0.6,1.8,.333,3.3,5.8,.566,.550,1.0,1.3,.818,0.5,2.3,2.8,1.1,0.6,0.3,0.7,1.7,9.5
T.J. Warren,SF,29,PHO,3,0,9.3,1.3,3.3,.400,0.3,0.7,.500,1.0,2.7,.375,.450,0.0,0.0,0,0.7,2.0,2.7,0.0,0.7,0.3,0.3,0.7,3.0
Duane Washington Jr.,SG,22,PHO,31,3,12.7,3.0,8.3,.367,1.3,3.6,.360,1.7,4.7,.372,.445,0.5,0.8,.667,0.1,1.1,1.2,2.0,0.2,0.1,1.1,0.7,7.9
P.J. Washington,PF,24,CHO,60,60,32.9,5.8,13.0,.444,2.0,5.8,.350,3.8,7.2,.518,.521,1.7,2.3,.748,1.0,3.7,4.8,2.4,0.9,1.1,1.4,2.7,15.3
TyTy Washington Jr.,PG,21,HOU,27,2,14.5,2.0,5.5,.358,0.6,2.7,.222,1.4,2.8,.487,.412,0.4,0.6,.625,0.1,1.4,1.4,1.7,0.4,0.1,0.5,1.0,4.9
Yuta Watanabe,SF,28,BRK,44,0,17.8,2.3,4.4,.521,1.2,2.5,.482,1.1,1.9,.571,.657,0.7,0.9,.744,0.6,1.9,2.5,0.9,0.4,0.3,0.4,1.5,6.5
Lindy Waters III,SG,25,OKC,26,0,11.4,1.5,3.7,.396,1.3,3.4,.371,0.2,0.3,.714,.568,0.3,0.4,.800,0.3,1.4,1.7,0.7,0.4,0.3,0.2,1.0,4.5
Trendon Watford,PF,22,POR,47,2,17.0,2.2,3.8,.573,0.3,0.8,.410,1.8,3.0,.619,.618,1.1,1.5,.714,0.7,2.7,3.4,1.9,0.4,0.1,1.1,1.9,5.7
Peyton Watson,SG,20,DEN,14,0,3.1,0.7,1.4,.526,0.1,0.3,.500,0.6,1.1,.533,.579,0.0,0.1,.000,0.2,0.4,0.6,0.1,0.0,0.1,0.1,0.1,1.6
Blake Wesley,SG,19,SAS,19,1,14.5,1.8,4.7,.393,0.6,1.3,.500,1.2,3.4,.354,.461,0.6,1.0,.579,0.2,1.6,1.8,1.5,0.5,0.1,1.5,1.9,4.9
Russell Westbrook,PG,34,TOT,57,8,28.9,5.9,13.9,.426,1.2,4.0,.297,4.7,9.9,.479,.469,2.9,4.4,.664,1.1,4.9,6.0,7.6,1.1,0.4,3.6,2.4,16.0
Russell Westbrook,PG,34,LAL,52,3,28.7,5.8,14.0,.417,1.2,4.1,.296,4.6,9.9,.467,.460,3.0,4.6,.655,1.1,5.0,6.2,7.5,1.0,0.4,3.5,2.3,15.9
Russell Westbrook,PG,34,LAC,5,5,31.2,6.6,12.4,.532,1.0,3.2,.313,5.6,9.2,.609,.573,2.4,3.0,.800,0.6,3.2,3.8,8.8,1.6,0.4,4.4,3.0,16.6
Coby White,SG,22,CHI,56,1,22.4,3.2,7.5,.420,1.6,4.6,.359,1.5,2.9,.515,.530,0.9,1.1,.850,0.2,2.4,2.6,2.2,0.8,0.1,0.8,1.6,8.9
Derrick White,SG,28,BOS,64,52,27.6,4.1,9.0,.457,1.7,4.6,.376,2.4,4.4,.543,.554,2.0,2.3,.868,0.6,2.8,3.3,3.8,0.7,0.9,1.1,2.2,11.9
Jack White,SF,25,DEN,15,0,3.1,0.5,1.1,.438,0.2,0.5,.375,0.3,0.5,.500,.531,0.1,0.2,.667,0.2,0.3,0.5,0.1,0.1,0.1,0.1,0.5,1.3
Joe Wieskamp,SF,23,TOR,3,0,8.0,1.0,2.7,.375,1.0,2.3,.429,0.0,0.3,.000,.563,0.0,0.0,0,0.0,0.7,0.7,0.3,0.0,0.0,0.3,0.3,3.0
Aaron Wiggins,SG,24,OKC,51,12,19.0,2.7,5.2,.517,0.7,1.8,.396,2.0,3.4,.580,.585,0.8,1.0,.804,1.1,2.1,3.2,1.4,0.5,0.2,0.8,1.7,6.9
Andrew Wiggins,SF,27,GSW,37,37,32.2,6.8,14.3,.473,2.4,6.1,.396,4.4,8.2,.530,.557,1.2,1.9,.611,1.6,3.4,5.0,2.3,1.2,0.8,1.3,2.9,17.1
Alondes Williams,SG,23,BRK,1,0,5.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
Grant Williams,PF,24,BOS,62,21,27.2,2.8,6.1,.456,1.5,3.6,.404,1.3,2.5,.532,.576,1.3,1.6,.820,1.1,3.7,4.7,1.8,0.6,0.4,1.1,2.6,8.3
Jalen Williams,SG,21,OKC,59,46,29.4,5.2,10.0,.514,0.9,2.7,.335,4.2,7.3,.580,.559,1.7,2.2,.771,1.0,3.2,4.2,3.1,1.3,0.5,1.5,2.6,12.9
Jaylin Williams,PF,20,OKC,31,18,17.2,2.0,4.6,.438,0.8,1.9,.417,1.2,2.7,.452,.524,0.6,0.9,.690,0.9,4.0,4.9,1.5,0.4,0.3,0.7,2.0,5.5
Kenrich Williams,PF,28,OKC,53,10,22.8,3.4,6.5,.517,0.9,2.5,.373,2.4,4.0,.608,.590,0.3,0.7,.436,1.8,3.1,4.9,2.0,0.8,0.3,0.6,2.1,8.0
Mark Williams,C,21,CHO,34,9,17.4,3.4,5.4,.637,0.0,0.0,0,3.4,5.4,.637,.637,1.6,2.1,.736,2.1,4.3,6.4,0.4,0.7,1.1,0.9,2.3,8.4
Patrick Williams,PF,21,CHI,64,59,28.8,3.8,8.3,.462,1.4,3.4,.409,2.4,4.9,.498,.545,1.1,1.3,.857,1.0,3.3,4.3,1.3,0.8,0.8,1.3,1.9,10.1
Robert Williams,C,25,BOS,28,18,24.2,3.9,5.1,.750,0.0,0.0,.000,3.9,5.1,.755,.750,0.7,1.1,.625,3.1,5.5,8.6,1.5,0.5,1.2,0.9,1.9,8.4
Vince Williams Jr.,SG,22,MEM,11,0,4.7,0.4,1.3,.286,0.2,0.9,.200,0.2,0.4,.500,.357,0.0,0.0,0,0.2,0.5,0.6,0.3,0.4,0.1,0.1,0.5,0.9
Ziaire Williams,SF,21,MEM,31,3,16.0,2.2,5.3,.411,0.6,2.7,.241,1.5,2.6,.588,.472,0.4,0.5,.765,0.4,1.9,2.3,0.8,0.4,0.2,1.0,1.7,5.4
Zion Williamson,PF,22,NOP,29,29,33.0,9.8,16.2,.608,0.2,0.7,.368,9.6,15.5,.618,.615,6.1,8.6,.714,2.0,5.0,7.0,4.6,1.1,0.6,3.4,2.2,26.0
Justise Winslow,SF,26,POR,29,11,26.8,2.8,6.8,.409,0.5,1.6,.311,2.3,5.3,.438,.444,0.7,1.0,.714,1.7,3.3,5.0,3.4,1.0,0.4,1.5,3.1,6.8
James Wiseman,C,21,TOT,26,3,14.8,3.3,5.3,.616,0.1,0.3,.286,3.2,5.0,.634,.623,1.2,1.8,.667,1.1,3.3,4.4,0.6,0.1,0.3,0.8,2.0,7.8
James Wiseman,C,21,GSW,21,0,12.5,2.8,4.5,.628,0.0,0.1,.500,2.8,4.4,.630,.633,1.2,1.8,.684,0.9,2.6,3.5,0.7,0.1,0.3,0.7,1.9,6.9
James Wiseman,C,21,DET,5,3,24.6,5.2,8.8,.591,0.2,1.0,.200,5.0,7.8,.641,.602,1.2,2.0,.600,2.2,6.0,8.2,0.4,0.0,0.2,1.6,2.8,11.8
Christian Wood,C,27,DAL,52,17,27.0,6.3,12.1,.521,1.7,4.6,.368,4.6,7.5,.614,.591,3.1,4.1,.761,1.3,6.5,7.8,1.7,0.4,1.1,1.9,2.7,17.4
Delon Wright,PG,30,WAS,33,5,23.2,2.5,5.3,.474,0.8,2.3,.364,1.7,3.0,.561,.554,0.9,1.0,.912,1.2,2.2,3.3,3.8,1.9,0.3,0.9,1.3,6.8
McKinley Wright IV,PG,24,DAL,20,1,10.3,1.2,2.5,.469,0.2,0.7,.286,1.0,1.8,.543,.510,0.4,0.6,.636,0.3,1.0,1.3,1.9,0.4,0.2,0.6,0.9,2.9
Thaddeus Young,PF,34,TOR,51,9,15.3,2.1,3.8,.554,0.1,0.7,.176,2.0,3.1,.635,.570,0.4,0.5,.692,1.4,1.8,3.2,1.5,1.1,0.1,0.8,1.7,4.7
Trae Young,PG,24,ATL,56,56,35.2,8.5,19.8,.429,2.2,6.6,.331,6.3,13.2,.478,.484,7.9,8.8,.891,0.8,2.3,3.0,10.1,1.1,0.2,4.1,1.5,27.0
Cody Zeller,C,30,MIA,5,0,14.4,1.8,2.8,.643,0.0,0.0,0,1.8,2.8,.643,.643,1.8,2.6,.692,1.4,1.2,2.6,0.8,0.2,0.6,0.8,2.4,5.4
Ivica Zubac,C,25,LAC,60,60,29.4,4.0,6.5,.619,0.0,0.0,.000,4.0,6.5,.622,.619,2.2,3.1,.703,3.3,6.8,10.1,1.1,0.4,1.3,1.7,3.0,10.2
